stage,epoch,train_loss,val_loss,train_accuracy,train_macro_f1,train_macro_precision,train_macro_recall,val_accuracy,val_macro_f1,val_macro_precision,val_macro_recall
stage1,0,3.173904102048839,3.012578206076383,0.12363067292644757,0.11321915296365068,0.14173178907468328,0.11772376246818717,0.2831858407079646,0.23608920446163031,0.31779312397406123,0.2473908999751793
stage1,1,2.7960879861158072,2.5927487861442002,0.35002608242044864,0.33533482325914793,0.37981950232700745,0.34357686263078974,0.45132743362831856,0.40284987130172073,0.4257652570518068,0.426551670914416
stage1,2,2.4255987538231745,2.353310266427234,0.504434011476265,0.48711771355584327,0.5133576548716327,0.49841370731475265,0.4690265486725664,0.43593222079114563,0.46249816256696197,0.45603888285776834
stage1,3,2.247487777710956,2.1991847313962505,0.5096504955659885,0.49582758648554404,0.5102067030989095,0.5064026438689894,0.49852507374631266,0.47336119422914663,0.5077087521531966,0.4908565873220156
stage1,4,2.101127197174088,2.123918727435897,0.5571205007824727,0.5334847865172478,0.5572483684938664,0.5490833941800689,0.5073746312684366,0.47052298390508085,0.4911954476082542,0.5048540777470946
stage1,5,2.0191477450717534,2.0764952774948076,0.5800730307772561,0.565623235677618,0.591911585091525,0.5763628765047518,0.5191740412979351,0.48916881332272577,0.5347479289429754,0.5144396227299564
stage1,6,1.9722264457258882,2.0336443048662844,0.596244131455399,0.5831594717163034,0.5903329168481819,0.5964849049529337,0.5427728613569321,0.5151101794948783,0.5346740209941478,0.5357253220858312
stage1,7,1.9067205739755089,2.0182333752117327,0.6207616066770997,0.605677058921925,0.6147890334118101,0.6180143368654318,0.5250737463126843,0.49624786335060705,0.5121394944924356,0.5223675908746428
stage1,8,1.8965616445088673,2.019638882977421,0.6311945748565467,0.6171126482833095,0.6215809801154732,0.6274042511514393,0.5339233038348082,0.5042729668498054,0.5172263950041727,0.52895088737022
stage1,9,1.9086819045793655,2.0077759509241333,0.6098069900886802,0.5998331261155985,0.6023394106872305,0.6099733352814253,0.5309734513274337,0.506731377002249,0.515972334943783,0.5258779693850213
stage2,0,1.7964454079022554,1.8897982399723874,0.658320292123109,0.6433267594902486,0.6504069309794759,0.6509546442118511,0.5545722713864307,0.5287142592612406,0.5408906748948028,0.5479892255434051
stage2,1,1.6875476579089057,1.7896397905012147,0.6765779864371414,0.669600724453389,0.6784943127626958,0.6779715020205244,0.5781710914454278,0.5488288865384027,0.5569455019747418,0.566070129369923
stage2,2,1.5273682589821973,1.7171038547448352,0.7339593114241002,0.7239911672006484,0.7307825034095172,0.7321897850246329,0.5899705014749262,0.5595631339685236,0.5702464259739801,0.5746746177989728
stage2,3,1.4570780949600053,1.6700079785687383,0.7402190923317684,0.7313565107467244,0.7368655396080064,0.7368399201902263,0.6312684365781711,0.5996321388370505,0.6073679240277108,0.6082157950536002
stage2,4,1.3776252736134895,1.6355907449328442,0.7866458007303078,0.7786968403359015,0.7842898460814828,0.7871661266447902,0.6342182890855457,0.6130787006544594,0.6122425922724303,0.6222869091247143
stage2,5,1.3129332495904802,1.6188670048671485,0.8095983307250912,0.808692315196574,0.8098343214165418,0.8129431567781565,0.6342182890855457,0.608456469406781,0.6123974790641458,0.6183935764130122
stage2,6,1.2432170411728296,1.6150629077337484,0.8325508607198748,0.825738154921728,0.8315567602366242,0.8287029378655499,0.6283185840707964,0.5955849012283593,0.5983227007381596,0.6082954668437984
stage2,7,1.2211340178284225,1.588247934273914,0.8309859154929577,0.8268714983631453,0.8288991061878619,0.8294843404497186,0.640117994100295,0.6128596698472608,0.6211457932046167,0.6201929466334352
stage2,8,1.187258137410422,1.5701341024190627,0.8471570161711007,0.8459044213483452,0.8499357325783405,0.8492825270549278,0.6548672566371682,0.6257526538321374,0.6307160540624369,0.6348978366866225
stage2,9,1.1447667468632643,1.561024629260938,0.8680229525299947,0.8644412653342839,0.8653798622147639,0.8669058860293406,0.6460176991150443,0.6180303014244458,0.6290776635192662,0.6267625222819581
stage2,10,1.139988123904185,1.5512429106551988,0.8711528429838289,0.870504012276082,0.8725367247262846,0.8751850240682773,0.6607669616519174,0.6321819868434854,0.63491778705057,0.6399073333627858
stage2,11,1.1205313652209707,1.5476227749062148,0.8721961398017736,0.8723180550526995,0.8722954739478267,0.8787733830530994,0.6578171091445427,0.6307577046547707,0.6338390360677271,0.6379630138746066
stage2,12,1.114545119200514,1.5474716540986457,0.8675013041210224,0.8661152028858297,0.867531038469824,0.8694234057796163,0.6578171091445427,0.6293358744025744,0.6359017312491685,0.6362036296590821
stage2,13,1.0931576631562936,1.539790354295466,0.8857589984350548,0.8848586131886047,0.885658209214394,0.8891276914054917,0.6666666666666666,0.6385431142443602,0.6489418418666786,0.6443788565649591
stage2,14,1.074166837681316,1.5465890327386096,0.8930620761606677,0.8931481325872187,0.8917684632156222,0.8968860042531251,0.6607669616519174,0.6332124299374837,0.6427807486631016,0.6425214184330111
stage2,15,1.0485586858255886,1.5448828791446743,0.900886802295253,0.9007770197836741,0.9008297687463952,0.9034481191244189,0.6460176991150443,0.6190645950454239,0.621103531131051,0.6283935060594847
stage2,16,1.0414970261887704,1.5432690276508838,0.9113197704747,0.9082013570592693,0.9077810107845177,0.9106133061166001,0.6489675516224189,0.6269013504577006,0.6318690326860261,0.6312509880836333
stage2,17,1.050551006678311,1.5436891229455099,0.9014084507042254,0.9037863225123681,0.903353685759381,0.9085212554698863,0.6578171091445427,0.6273451919769963,0.6326615831517792,0.6328213313206433
stage2,18,1.0565912969173339,1.5433682220875338,0.9061032863849765,0.9078305199629227,0.9087825222552042,0.9099699403437308,0.6578171091445427,0.6305088794631604,0.6364940488768279,0.635550733172852
stage2,19,1.0331086102536897,1.543434863245241,0.9092331768388107,0.9041078174794136,0.9076591914250001,0.9062972903255118,0.6548672566371682,0.6295451294809771,0.6355152110054071,0.6341262317483509
